Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
1093,752.0,462.0
1094,877.0,798.0
1095,919.0,812.0
1096,969.0,956.0
1097,799.0,586.0
1098,1006.0,861.0
1099,899.0,513.0
1100,678.0,896.0
1101,919.0,598.0
1102,1220.0,1367.0
1103,1091.0,1348.0
1104,1042.0,985.0
1105,992.0,1192.0
1106,1157.0,603.0
1107,1285.0,1229.0
1108,1399.0,1027.0
1109,932.0,1016.0
1110,1120.0,1252.0
1111,1185.0,951.0
1112,1293.0,1630.0
1113,1464.0,1020.0
1114,1204.0,1567.0
1115,1071.0,1525.0
1116,1222.0,1913.0
1117,1343.0,2095.0
1118,1350.0,1531.0
1119,1067.0,1555.0
1120,1083.0,1443.0
1121,682.0,924.0
1122,1103.0,1901.0
1123,1131.0,673.0
1124,1279.0,1830.0
1125,1326.0,1292.0
1126,902.0,509.0
1127,1118.0,1475.0
1128,1192.0,1627.0
1129,1134.0,1652.0
1130,925.0,1008.0
1131,756.0,346.0
1132,891.0,1231.0
1133,908.0,447.0
1134,825.0,1061.0
1135,965.0,731.0
1136,1041.0,749.0
1137,1305.0,480.0
1138,1095.0,842.0
1139,935.0,831.0
1140,1009.0,270.0
1141,1235.0,852.0
1142,994.0,823.0
1143,673.0,678.0
1144,679.0,849.0
1145,838.0,966.0
1146,1052.0,432.0
1147,879.0,504.0
1148,692.0,522.0
1149,781.0,761.0
1150,540.0,133.0
1151,685.0,268.0
1152,1234.0,1049.0
1153,1249.0,803.0
1154,1298.0,579.0
1155,1277.0,1039.0
1156,1231.0,344.0
1157,1404.0,828.0
1158,1056.0,285.0
1159,938.0,1352.0
1160,1336.0,948.0
1161,1094.0,282.0
1162,1251.0,1004.0
1163,1145.0,1086.0
1164,1079.0,568.0
1165,1149.0,916.0
1166,1747.0,215.0
1167,1482.0,690.0
1168,1556.0,485.0
1169,1423.0,222.0
1170,1438.0,621.0
1171,1575.0,732.0
1172,1467.0,693.0
1173,1331.0,651.0
1174,933.0,469.0
1175,627.0,396.0
1176,867.0,515.0
1177,824.0,490.0
1178,1193.0,783.0
1179,1320.0,428.0
1180,944.0,838.0
1181,709.0,1804.0
1182,680.0,979.0
1183,927.0,1132.0
1184,1187.0,2019.0
1185,1066.0,1448.0
1186,1033.0,409.0
1187,1027.0,1419.0
1188,1136.0,1152.0
1189,1012.0,1294.0
1190,973.0,1401.0
1191,1129.0,563.0
1192,824.0,1020.0
1193,945.0,1394.0
1194,853.0,1577.0
1195,807.0,1744.0
1196,869.0,1931.0
1197,903.0,2234.0
1198,949.0,1124.0
1199,1014.0,733.0
1200,904.0,1902.0
1201,1123.0,1693.0
1202,978.0,747.0
1203,950.0,1500.0
1204,873.0,1249.0
1205,751.0,638.0
1206,655.0,1077.0
1207,823.0,1074.0
1208,865.0,941.0
1209,770.0,2161.0
1210,759.0,1483.0
1211,886.0,1308.0
1212,811.0,1077.0
1213,660.0,1179.0
1214,694.0,981.0
1215,845.0,351.0
1216,864.0,279.0
1217,661.0,373.0
1218,777.0,935.0
1219,778.0,1006.0
1220,1016.0,734.0
1221,983.0,732.0
1222,1128.0,1087.0
1223,876.0,1134.0
1224,1029.0,1019.0
1225,1028.0,1214.0
1226,943.0,903.0
1227,1111.0,183.0
1228,946.0,782.0
1229,870.0,1074.0
1230,889.0,914.0
1231,980.0,913.0
1232,885.0,932.0
1233,864.0,954.0
1234,825.0,651.0
1235,907.0,777.0
1236,1080.0,546.0
1237,831.0,728.0
1238,1019.0,1317.0
1239,896.0,1406.0
1240,689.0,830.0
1241,978.0,1119.0
1242,1022.0,1240.0
1243,871.0,848.0
1244,836.0,894.0
1245,857.0,988.0
